,Artists,URLs
0,$NOT,s/snotrapper.html
1,$hirak,s/shirak.html
2,$hyfromdatre,h/hyfromdatre.html
3,$ilkMoney,s/silkmoney.html
4,$teven Cannon,s/stevencannon.html
5,$tupid Young,s/stupidyoung.html
6,$uicideboy$,s/suicideboys.html
7,&AUDITION,a/audition-jp.html
8,&TEAM,t/team.html
9,'68,19/68.html
10,'N Sync,n/nsync.html
11,'Til Tuesday,t/tiltuesday.html
12,(G)I-DLE,g/gidle.html
13,(Hed) P.E.,h/hedpe.html
14,(Sandy) Alex G,s/sandyalexg.html
15,(sic)boy,s/sicboy.html
16,+44,19/44.html
17,...And You Will Know Us By The Trail Of Dead,a/andyouwillknowusbythetrailofdead.html
18,.Feast,f/feast.html
19,".Paak, Anderson",a/anderson-paak.html
20,01099,19/01099.html
21,03 Greedo,19/03greedo.html
22,044 ROSE,19/044rose.html
23,070 Shake,19/070shake.html
24,1 Hour Band,19/1hourband.html
25,1.Cuz,19/1cuz.html
26,10 Years,19/10years.html
27,100 Blaze,19/100blaze.html
28,100 gecs,19/100gecs.html
29,10000 Maniacs,19/10000.html
30,100lytsia (100лиця),19/100lytsia100.html
31,102 Boyz,19/102boyz.html
32,104,19/104.html
33,1096Gang,19/1096gang.html
34,10AGE,19/10age.html
35,10cc,19/10cc.html
36,10cm,19/10cm.html
37,10k.Caash,19/10kcaash.html
38,112,19/112.html
39,113,19/113.html
40,116 Clique,19/116clique.html
41,11:11,19/1111.html
42,12 Stones,19/12stones.html
43,13 Block,19/13block.html
44,13 Organisé,19/13organise.html
45,13 karat (тринадцать карат),19/13karat.html
46,"13th Floor Elevators, The",19/13thfloorelevators.html
47,163ONMYNECK,19/163onmyneck.html
48,169,19/169.html
49,17 SEVENTEEN,19/17seventeen.html
50,18 Karat,19/18karat.html
51,187 Strassenbande,19/187strassenbande.html
52,1914,19/1914.html
53,1927,19/1927.html
54,"1975, The",19/1975.html
55,1990nowhere,19/1990nowhere.html
56,1995,19/1995.html
57,1K Phew,19/1kphew.html
58,1PLIKÉ140,19/1plike140.html
59,1TEAM,19/1team.html
60,1THE9,19/1the9.html
61,1TakeJay,19/1takejay.html
62,1nonly,19/1nonly.html
63,2 Chainz,19/2chainz.html
64,"2 Live Crew, The",19/2livecrew.html
65,2 Milly,19/2milly.html
66,2 Unlimited,19/2unlimited.html
67,2-Crucial,19/2crucial.html
68,20TOKENS,19/20tokens.html
69,21 District,19/21district.html
70,21 Lil Harold,19/21lilharold.html
71,21 Savage,19/21savage.html
72,213,19/213.html
73,22Gz,19/22gz.html
74,23,19/23.html
75,23 Unofficial,19/23unofficial.html
76,24hrs,19/24hrs.html
77,24kGoldn,19/24kgoldn.html
78,25/17,19/2517.html
79,257ers,19/257ers.html
80,25K,19/25k.html
81,26AR,19/26ar.html
82,27CLUB,19/27club.html
83,28 Days,19/28days.html
84,2AM Club,19/2amclub.html
85,2Baba,19/2baba.html
86,2Be3,19/2be3.html
87,2KBABY,19/2kbaby.html
88,2LADE,19/2lade.html
89,2NE1,19/2ne1.html
90,2PM,19/2pm.html
91,2Pac,19/2pac.html
92,2Rare,19/2rare.html
93,2Scratch,19/2scratch.html
94,2TH,19/2th.html
95,2Virgins,19/2virgins.html
96,2bona,19/2bona.html
97,2face Idibia,19/2faceidibia.html
98,2gether,19/2gether.html
99,2rbina 2rista,19/2rbina2rista.html
100,3 Composers,19/3composers.html
101,3 Doors Down,19/3doors.html
102,3 Of A Kind,19/3ofakind.html
103,30 Deep Grimeyy,19/30deepgrimeyy.html
104,311,19/311.html
105,32 Leaves,19/32leaves.html
106,347aidan,19/347aidan.html
107,36 Crazyfists,19/36crazyfists.html
108,36 Questions Cast,19/36questionscast.html
109,360,19/360.html
110,38 Special,19/38special.html
111,3AM,19/3am.html
112,3BallMTY,19/3ballmty.html
113,3Breezy,19/3breezy.html
114,3LAU,19/3lau.html
115,3LW,19/3lw.html
116,3MFrench,19/3mfrench.html
117,3OH!3,19/3oh3.html
118,3RACHA,19/3racha.html
119,3T,19/3t.html
120,3TEETH,19/3teeth.html
121,3TERNITY,19/3ternity.html
122,3YE,19/3ye.html
123,3rd Edge,19/3rdedge.html
124,3rd Storee,19/3rdstoree.html
125,3rd Strike,19/3rdstrike.html
126,3robi,19/3robi.html
127,4 Non Blondes,19/4nonblondes.html
128,4*TOWN,19/4town.html
129,40 Below Summer,19/40below.html
130,"411, The",19/411.html
131,42 Dugg,19/42dugg.html
132,47ter,19/47ter.html
133,49 Winchester,19/49winchester.html
134,49th & Main,19/49thmain.html
135,4B,19/4b.html
136,4Keus,19/4keus.html
137,4Minute,19/4minute.html
138,4n Way,19/4nway.html
139,5 After Midnight,19/5aftermidnight.html
140,5 Seconds Of Summer,19/5secondsofsummer.html
141,50 Cent,19/50cent.html
142,"502s, The",19/502s.html
143,504 Boyz,19/504boyz.html
144,54-40,19/5440.html
145,5Quad,19/5quad.html
146,5ive (Five),19/5ive.html
147,"5th Dimension, The",19/5thdimension.html
148,6 Dogs,19/6dogs.html
149,600Breezy,19/600breezy.html
150,645AR,19/645ar.html
151,67,19/67.html
152,69 Boyz,19/69boyz.html
153,"69 Eyes, The",19/69eyes.html
154,6LACK,19/6lack.html
155,6cyclemind,19/6cyclemind.html
